"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"nicolas";0,588;0;1;1;1;1;1
"juge";1;1;0;0,875;1;1;1
"détenu";1;1;0,875;0;1;1;1
"changer";0,157;1;0,008;0,396;1;1;1
"sarkozy";0,426;0;1;1;1;1;1
"retrouver";0,032;1;1;0,672;0,672;1;1
"respecter";1;1;1;0,157;0,875;1;0,047
"rassemblement";1;0;1;1;1;1;1
"permettre";1;1;0,232;1;0,533;1;1
"menace";1;1;0,738;1;1;0;1
"magasin";1;1;1;1;1;1;0
"lr";0;1;1;1;1;1;1
"baisser";1;0,555;1;1;0,677;1;0,017
"électeur";0,017;0,039;1;1;1;1;1
"économie";0;1;1;1;0,677;1;1
"sébastien";0;0,609;1;1;0,81;1;1
"sujet";0,426;0,555;1;1;1;0,017;1
"situation";0,875;0,268;1;0,396;1;0,875;1
"rappeler";0,232;1;1;1;1;0,017;1
"président";0,875;0,001;0,875;1;1;0,875;1
"portable";1;1;0,588;0;1;1;1
"patron";1;0,039;1;1;1;1;0,017
"nouvelle";1;0,094;1;0,875;1;0,588;0,588
"fouille";1;1;1;0;1;1;1
"femme";1;0,491;1;0,672;0,016;1;1
"décider";1;1;0,232;1;0,533;1;0,017
"donner";1;1;1;1;0,023;0,094;0,738
"seul";0,053;1;0,053;0,23;1;1;1
"sembler";1;0,268;1;0,396;1;0,157;1
"propos";1;1;1;1;0,02;0,257;1
"manière";1;1;1;1;1;0;0,588
"lieu";1;1;1;0,156;0,156;0,316;1
"instant";1;1;1;0,672;1;1;0,001
"impôt";0,047;1;0,588;0,875;0,875;1;1
"immigration";0,738;1;1;1;1;0;1
"groupe";1;0,094;1;0,875;0,875;1;0,588
"famille";1;1;0,875;0,052;0,396;1;1
"drogue";1;1;0,875;0;1;1;1
"côté";1;0,738;1;1;0,875;1;0,001
"coup";0,588;0,738;0,588;1;1;1;0,047
"continuer";0,047;0,094;1;1;1;1;0,588
"considérer";0,875;0,268;1;0,396;1;0,157;1
"acte";1;1;0,017;1;1;0,017;1
"écrire";1;0,023;0,875;1;1;1;0,875
"victime";1;1;0,875;0,052;1;0,157;1
"travail";1;1;0,094;0,023;1;1;0,738
"seulement";1;1;0,875;0,396;1;0,157;0,875
"service";1;1;0,094;1;0,268;0,738;0,738
"sentir";1;0,009;0,738;1;1;0,094;1
"santé";1;1;1;1;0;1;1
"républicain";0,588;0,003;1;1;0,875;1;1
"réponse";1;1;1;1;0,677;0,017;0,426
"rester";0,875;0,268;1;1;1;0,157;1
"quelqu";1;1;0;1;1;1;1
"pénitentiaire";1;1;0,008;0,002;1;1;1
"produire";1;1;1;1;1;1;0
"possible";1;1;0,017;0,533;0,533;1;1
"pme";1;0,355;1;1;1;1;0,003
"petit";0,588;1;1;0,875;0,875;0,588;0,588
"pen";0,588;0;1;1;1;1;1
"midi";0,426;1;1;1;0,001;1;1
"mesure";1;0,039;1;1;1;0,017;1
"marine";0,588;0;1;1;1;1;1
"maladie";1;1;0,257;0,453;1;1;0,257
"islamiste";1;1;1;1;1;0;1
"heure";1;1;1;0,875;0,157;0,047;1
"emmanuel";0,094;0,009;1;1;1;1;0,738
"dernier";0,232;1;1;0,096;1;1;0,232
