"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"place";0,737168289395733;-0,523727182624453;0,256913223120312;0,144271399422828;0,775097157226763;-0,550674054017366;0,270131951901717;0,151694468102291;0,705796872980841;0,233759906035573;0,0491939987592953;0,0112492222242885;0,00132073930118436;0,000666644103365244;0,000160419340502487;5,0587626126755e-05;0,00243043388411188;0,408157545439524;0,000404892255889541
"home";0,549568616032357;-1,32116508582702;0,919457811871612;-0,140679176630894;0,322013688172883;-0,774122156108263;0,538746195621029;-0,0824294168089313;0,155626316526518;0,590155855746965;0,249974423603553;0,00424340412296426;0,000732696561510952;0,00423442536350707;0,00205089733154683;4,80109104390731e-05;0,00242594140003774;0,648009621145678;0,00101869274694097
"suppose";-0,578006078425815;-0,319518025223514;-0,689490732438368;-0,0647946911504961;-0,604000302517267;-0,333887464333114;-0,720498670377004;-0,0677086531044768;0,494487829261047;0,0991504925287076;0,403775936081431;0,00258574212880851;0,000813487050279327;0,000248585938955956;0,00115755783536021;1,02226779908631e-05;0,00243492636818602;0,382345208135646;0,000355956670601568
"feelings";-1,16309710211015;1,35360273225438;0,784684293132918;-1,52225624765739;-0,470229874307601;0,547249616128888;0,317240921554714;-0,615434741176154;0,349321763021998;0,310448448740167;0,0912381321538127;0,248991656084018;0,0031906399372487;0,00432143807695814;0,00145223121890972;0,00546539279519787;0,00235855413892558;0,915385863974933;0,00197630628849697
"brother";-0,398275445610112;-0,160319547357036;-0,00353193537618689;0,367645771127805;-0,704607124611786;-0,283628570446414;-0,00624850679889996;0,650418780583417;0,684490432021576;0,0727757394510545;3,08900481659707e-05;0,242702938479194;0,000368420810568827;5,96966616615162e-05;2,89736084454512e-08;0,000313932471385383;0,00232261426633243;0,22392412753513;0,00011646055913167
"anne";0,40293593866576;-0,652686348571707;0,423422904276855;0,0591528911829829;0,458847725878019;-0,743253748338841;0,482177482990079;0,0673610045514861;0,297236961354618;0,511744537114003;0,188352881008791;0,00266562052258688;0,000359588235709629;0,000943501345582768;0,000397083790407916;7,74970940773679e-06;0,00221479464855297;0,343783990001081;0,000261760891434918
"hour";1,24281865969454;-0,863834079486631;1,35909856181074;-0,385898590488078;0,600257226937901;-0,417215049872637;0,656418156811646;-0,186381509481481;0,489389300346009;0,155136132477224;0,335840924093992;0,0196336430827746;0,00348341961995486;0,00168287140298042;0,00416574008355773;0,000335843268527562;0,00225522700522027;0,826383390311461;0,00154011596407315
"word";-0,148361016673921;0,710690682570098;0,481639017900538;0,507755715198838;-0,147124175116822;0,70476586626625;0,47762373702545;0,503522707205961;0,0370663218737918;0,558103168385709;0,224169222847454;0,180661286893041;4,91453617817825e-05;0,00112772751919234;0,000517948117880107;0,000575642135725088;0,00223276458484955;0,35845207922218;0,000286883217292721
"pleasure";-0,21770874447374;-0,0298637678184875;0,386054804901388;-0,685857964040478;-0,266425597695732;-0,0365464061157489;0,47244258556444;-0,839332928245807;0,143955267809325;0,00177737214498726;0,259756551654637;0,594510808391053;0,000105187768428817;1,97925930792548e-06;0,000330758808949926;0,00104395521235005;0,00221928713262711;0,266908953072733;0,000158102879142335
"half";1,00367422802373;-0,411793117449204;0,387726084936824;-0,226175661676046;0,854872998467602;-0,350742110570365;0,330243172096486;-0,192643649382242;0,821542547462892;0,0907436065216502;0,0703537620452372;0,0173600839702179;0,00216321650613912;0,000364143540322468;0,000322823010043079;0,000109851548149265;0,00214740738744081;0,51508486852683;0,000569733854521569
"reply";-0,581776046646242;0,59588910977139;0,367935004343757;1,60107271118733;-0,315867576977825;0,323530077142234;0,199765423443184;0,869281161992519;0,197259223879131;0,135790659684581;0,0452752266634368;0,621674889772851;0,000752667939762116;0,00078962818591853;0,000301046761698937;0,00570051189215265;0,00222377961670126;0,609309887457167;0,000825597171450116
"till";0,718961162048528;-0,68128901155774;1,01940639452275;0,138343005604654;0,503449014531304;-0,47706927659689;0,713834309585071;0,0968740086606521;0,362546453764742;0,213613611328719;0,418254168352969;0,00558576655356959;0,00110536156682689;0,000992558853429103;0,00222222590485048;4,09268116259698e-05;0,00213842241929252;0,555424009718184;0,000659694400352204
"heart";-0,896074195358352;1,03889646616021;0,253361605065273;-0,534680371328749;-0,599742422890709;0,695333362990489;0,169574912073613;-0,357861551012043;0,481687727108299;0,424849910061298;0,0220979513555838;0,0713644114748157;0,00175311641959504;0,00235649950832673;0,000140153652028933;0,000624182081948952;0,00218334726003396;0,600568057879345;0,000787494039293308
"year";0,0782228959873675;-1,53563295321652;-1,25017972962701;-0,00697955968001331;0,0394718658073127;-0,774892019702755;-0,63085016094046;-0,00352193868056364;0,00249709624022298;0,631474327996052;0,366020303219114;8,27254460387889e-06;1,28372266110308e-05;0,00494741421957059;0,00327905221805129;1,02202019387976e-07;0,00209799006262523;0,728144040829961;0,00111234120658965
"marry";-0,955249947978527;-1,74610760701805;-2,12262939452595;0,0340009355672629;-0,32826447357569;-0,600036771147955;-0,729425656881595;0,011684166263173;0,16593848569052;0,363804812117192;0,470169221869065;8,74803232141199e-05;0,00186522826633425;0,00623217947363928;0,00920971712472054;2,36308681657802e-06;0,0020440802537355;1,09079844693999;0,00243213100797975
"meet";0,280971490370737;-0,532287485433274;0,855139848190222;-0,00273761433619252;0,268685115224498;-0,509011516319639;0,817746129121076;-0,00261790341215606;0,115334022473977;0,271605645936434;0,613055775491882;4,55609770824966e-06;0,000168463052645389;0,00060460629844343;0,00156046648149693;1,59928067266873e-08;0,00213392993521838;0,384843880455326;0,000316045292567898
"bring";0,158306575129056;-0,24185940845216;0,398652341588269;-0,109567035554145;0,313810428928126;-0,479436843635846;0,790246786686091;-0,217194253590537;0,156987585336523;0,240440005380777;0,57127972680433;0,0312926824783721;5,3816115827496e-05;0,000125614685536736;0,00034127390477246;2,57794867062855e-05;0,00214740738744081;0,1858520466447;7,4173562583391e-05
"pass";0,885922713167948;0,342300558214158;0,352018037286191;0,0118200955039211;0,874589254900917;0,337921565516895;0,347514730535471;0,0116688830368347;0,841303304680773;0,0824118172096046;0,0762225593987334;6,23187108803653e-05;0,00168893809682914;0,000252137402453048;0,000266656327741717;3,00651954000332e-07;0,00215189987151496;0,449283623010619;0,0004343734139319
"call";0,604331948353881;-0,784042593519747;0,866553652413206;0,313586218302804;0,446833755349835;-0,579709044625099;0,640716453556037;0,231860830677355;0,294434109902036;0,325184382413047;0,347392707836114;0,0329887998488026;0,00076622185447568;0,00128968230144402;0,00157541269568129;0,000206308614412406;0,00209799006262523;0,518062960448868;0,000563077939530643
"subject";-0,809652046008016;0,886222666378645;0,724310553232554;0,391842365683141;-0,556190263388512;0,608790431228193;0,497564947021088;0,26917601165912;0,426829877722828;0,33554984083363;0,19601999474975;0,0416002866937885;0,00139003386257286;0,00166538347843314;0,00111244403259455;0,000325575206271705;0,00212045248299595;0,57646382773378;0,000704648719604065
"morning";1,35431599372716;-1,291229418649;1,68774904186874;0,0248390088625556;0,537420252623002;-0,512386210883363;0,669733297580811;0,0098566261342616;0,40196404974841;0,239754836238645;0,358224849924024;5,62640889221067e-05;0,00388927417059028;0,00353537404542776;0,00604010217243597;1,30826905721351e-06;0,00212045248299595;0,993636302863862;0,0020935505194127
"sit";1,70411913481162;-0,104132925310583;0,443370646097342;0,0659348191209513;0,965418951843209;-0,0589934691489884;0,251178697362999;0,0373534471067113;0,959769052495385;0,00235156142366798;0,0372815088122943;0,00059787726864773;0,0059621466244077;2,22627538168994e-05;0,000403586489878855;8,92549651041017e-06;0,00205306522188379;0,809128747365806;0,00134411989417903
"present";-0,580499728570774;0,270003941099565;-0,157027819297621;-0,060507095388699;-0,876930922639008;0,407880992067927;-0,237213806793133;-0,0914049402160042;0,841421408221374;0,119443652594619;0,0353309638372287;0,00380397534677532;0,000687300153783647;0,000148690289077967;5,02916168411919e-05;7,46715230841448e-06;0,00203958776966136;0,294371859825187;0,000176740053653965
"eye";1,22700128713252;1,85945236729501;-1,43884261070683;0,33934970428822;0,458919913531634;0,695467664593458;-0,538152268800266;0,126922716856218;0,300493853930255;0,45282357172122;0,237118210820741;0,00956436352777685;0,00304361066058017;0,00698987123555692;0,00418529082667791;0,000232805914850472;0,00202161783336478;1,04118588269013;0,00219157128692124
